Name,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Wii Sports,76,51,8,322,82.53
Mario Kart Wii,82,73,8.3,709,35.52
Wii Sports Resort,80,73,8,192,32.77
New Super Mario Bros.,89,65,8.5,431,29.8
Wii Play,58,41,6.6,129,28.92
New Super Mario Bros. Wii,87,80,8.4,594,28.32
Mario Kart DS,91,64,8.6,464,23.21
Wii Fit,80,63,7.7,146,22.7
Kinect Adventures!,61,45,6.3,106,21.81
Wii Fit Plus,80,33,7.4,52,21.79
Grand Theft Auto V,97,50,8.2,3994,21.04
Grand Theft Auto: San Andreas,95,80,9,1588,20.81
Brain Age: Train Your Brain in Minutes a Day,77,58,7.9,50,20.15
Grand Theft Auto V,97,58,8.1,3711,16.27
Grand Theft Auto: Vice City,95,62,8.7,730,16.15
Brain Age 2: More Training in Minutes a Day,77,37,7.1,19,15.29
Gran Turismo 3: A-Spec,95,54,8.4,314,14.98
Call of Duty: Modern Warfare 3,88,81,3.4,8713,14.73
Call of Duty: Black Ops,87,89,6.3,1454,14.61
Call of Duty: Black Ops II,83,21,5.3,922,13.79
Call of Duty: Black Ops II,83,73,4.8,2256,13.67
Call of Duty: Modern Warfare 2,94,100,6.3,2698,13.47
Call of Duty: Modern Warfare 3,88,39,3.2,5234,13.32
Grand Theft Auto III,97,56,8.5,664,13.1
Super Smash Bros. Brawl,93,81,8.9,1662,12.84
Mario Kart 7,85,73,8.2,632,12.66
Call of Duty: Black Ops,88,58,6.4,1094,12.63
Grand Theft Auto V,97,66,8.3,2899,12.61
Animal Crossing: Wild World,86,57,8.7,242,12.13
Halo 3,94,86,7.8,4100,12.12
Gran Turismo 4,89,74,8.5,272,11.66
Super Mario Galaxy,97,73,8.9,2147,11.35
Grand Theft Auto IV,98,86,7.9,2951,11.01
Gran Turismo,96,16,8.7,138,10.95
Super Mario 3D Land,90,82,8.4,921,10.81
Gran Turismo 5,84,82,7.5,1112,10.7
Call of Duty: Modern Warfare 2,94,67,6.3,2073,10.6
Grand Theft Auto IV,98,64,7.5,2833,10.5
Call of Duty: Ghosts,73,29,2.6,2117,10.25
Just Dance 3,74,15,7.8,16,10.12
New Super Mario Bros. 2,78,70,7.2,424,9.9
Halo: Reach,91,99,7.9,2045,9.86
Final Fantasy VII,92,20,9.2,1282,9.72
Halo 4,87,87,7,3260,9.71
Gran Turismo 2,93,23,9,135,9.49
Just Dance 2,74,24,7.3,24,9.44
Call of Duty: Ghosts,71,10,2.6,1047,9.36
Call of Duty 4: Modern Warfare,94,70,8.4,1320,9.31
Animal Crossing: New Leaf,88,70,8.7,626,9.16
Mario Party DS,72,27,7.8,85,8.91
The Elder Scrolls V: Skyrim,96,89,8.4,3589,8.79
FIFA 16,82,42,4.3,896,8.57
Halo 2,95,91,8.2,1218,8.49
Wii Party,68,42,7.4,54,8.38
Mario Party 8,62,41,6.3,190,8.27
FIFA Soccer 13,88,37,6.6,348,8.16
Final Fantasy X,92,53,8.7,1056,8.05
The Sims 3,86,75,7.6,886,8.01
Final Fantasy VIII,90,24,8.6,644,7.86
Pokémon Platinum Version,83,46,8.5,203,7.72
Grand Theft Auto: Liberty City Stories,88,65,7.6,451,7.69
Call of Duty: Advanced Warfare,83,39,5.7,1443,7.66
FIFA 17,85,41,5,398,7.59
Super Mario Galaxy 2,97,87,9.1,1854,7.51
Call of Duty: World at War,84,84,7.6,580,7.38
Battlefield 3,84,57,7.4,2142,7.32
Need for Speed Underground,85,33,8.6,171,7.2
Just Dance,49,21,8,110,7.2
Battlefield 3,85,38,7.5,1761,7.17
Fallout 4,87,58,6.5,4228,7.16
Tekken 3,96,15,9.1,367,7.16
The Legend of Zelda: Twilight Princess,95,73,9,1658,7.15
Crash Bandicoot 3: Warped,91,12,8.9,432,7.13
Mario Kart 8,88,82,9.1,1599,7.09
Super Smash Bros. Melee,92,38,9.1,568,7.07
Need for Speed Underground 2,82,39,8.6,132,6.9
Medal of Honor: Frontline,88,29,8.5,135,6.83
Just Dance 4,74,10,7.3,28,6.76
Gears of War 2,93,90,7.7,2739,6.75
Uncharted 3: Drake's Deception,92,97,8.3,3712,6.74
Call of Duty 4: Modern Warfare,94,44,8.4,993,6.68
Uncharted 2: Among Thieves,96,105,8.8,5187,6.66
Big Brain Academy,74,45,7.4,27,6.62
Red Dead Redemption,95,73,8.8,2456,6.49
FIFA 14,86,37,4.3,576,6.47
Assassin's Creed III,85,41,6.9,1307,6.45
Donkey Kong Country Returns,87,77,8.6,368,6.44
Halo: Combat Evolved,97,68,8.6,1283,6.43
The Elder Scrolls V: Skyrim,92,16,6.4,2527,6.41
Pokémon Emerald Version,76,28,9,222,6.41
Kingdom Hearts,85,46,8.8,597,6.4
Halo 3: ODST,83,94,7.1,1163,6.34
Red Dead Redemption,95,96,9,2316,6.32
Super Mario Sunshine,92,61,8.6,439,6.31
World of Warcraft,93,57,7.3,2182,6.29
Driver,87,22,8.1,78,6.27
Gears of War 3,91,96,7.8,1504,6.21
Kinect Sports,73,51,7.4,95,6.19
Gears of War,94,88,8.3,2295,6.09
FIFA 15,82,47,5.7,988,6.08
Metal Gear Solid 2: Sons of Liberty,96,42,8.7,1026,6.05
Metal Gear Solid,94,20,9.4,918,6.03
Metal Gear Solid 4: Guns of the Patriots,94,82,8.7,3558,5.99
